year,category,nominee,workers,winner
2017,BAFTA Outstanding British Film,"I, Daniel Blake","Ken Loach, Rebecca O'Brien, Paul Laverty",True
2017,"BAFTA Outstanding Debut By A British Writer, Director or Producer","Babak Anvari, Emily Leo, Oliver Roskill, Lucan Toh",Under The Shadow,True
2017,BAFTA Production Design,Fantastic Beasts and Where to Find Them,"Stuart Craig, Anna Pinnock",True
2017,BAFTA Sound,Arrival,"Claude La Haye, Bernard Gariépy Strobl, Sylvain Bellemare",True
2017,BAFTA Special Visual Effects,The Jungle Book,"Robert Legato, Dan Lemmon, Andrew R Jones, Adam Valdez",True
2017,BAFTA Supporting Actor,Dev Patel,Lion,True
2017,BAFTA Supporting Actress,Viola Davis,Fences,True
2018,BAFTA Adapted Screenplay,Call Me by Your Name,James Ivory,True
2018,BAFTA Animated Film,Coco,"Lee Unkrich, Darla K. Anderson",True
2018,BAFTA Best Film,"Three Billboards Outside Ebbing, Missouri","Graham Broadbent, Pete Czernin, Martin McDonagh",True
2018,BAFTA British Short Animation,Poles Apart,"Paloma Baeza, Ser En Low",True
2018,BAFTA British Short Film,Cowboy Dave,"Colin O'Toole, Jonas Mortensen",True
2018,BAFTA Cinematography,Blade Runner 2049,Roger Deakins,True
2018,BAFTA Costume Design,Phantom Thread,Mark Bridges,True
2018,BAFTA Director,The Shape of Water,Guillermo del Toro,True
2018,BAFTA Documentary,I Am Not Your Negro,Raoul Peck,True
2018,BAFTA EE Rising Star,Daniel Kaluuya,,True
2018,BAFTA Editing,Baby Driver,"Jonathan Amos, Paul Machliss",True
2018,BAFTA Fellowship,Ridley Scott,,True
2018,BAFTA Film Not in the English Language,The Handmaiden,"Park Chan-wook, Syd Lim",True
2018,BAFTA Leading Actor,Gary Oldman,Darkest Hour,True
2018,BAFTA Leading Actress,Frances McDormand,"Three Billboards Outside Ebbing, Missouri",True
2018,BAFTA Make Up and Hair,Darkest Hour,"David Malinowski, Ivana Primorac, Lucy Sibbick, Kazuhiro Tsuji",True
2018,BAFTA Original Music,The Shape of Water,Alexandre Desplat,True
2018,BAFTA Original Screenplay,"Three Billboards Outside Ebbing, Missouri",Martin McDonagh,True
2018,BAFTA Outstanding British Contribution to Cinema,National Film and Television School (NFTS),,True
2018,BAFTA Outstanding British Film,"Three Billboards Outside Ebbing, Missouri","Martin McDonagh, Graham Broadbent, Pete Czernin",True
2018,"BAFTA Outstanding Debut by a British Writer, Director or Producer",I Am Not a Witch,"Rungano Nyoni (Writer/Director), Emily Morgan (Producer)",True
2018,BAFTA Production Design,The Shape of Water,"Paul Austerberry, Jeff Melvin, Shane Vieau",True
2018,BAFTA Sound,Dunkirk,"Alex Gibson, Richard King, Gregg Landaker, Gary A. Rizzo, Mark Weingarten",True
2018,BAFTA Special Visual Effects,Blade Runner 2049,"Richard R. Hoover, Paul Lambert, Gerd Nefzer, John Nelson",True
2018,BAFTA Supporting Actor,Sam Rockwell,"Three Billboards Outside Ebbing, Missouri",True
2018,BAFTA Supporting Actress,Allison Janney,"I, Tonya",True
2019,BAFTA Adapted Screenplay,BlacKkKlansman,"Spike Lee, David Rabinowitz, Charlie Wachtel, Kevin Willmott",True
2019,BAFTA Animated Film,Spider-Man: Into The Spider-Verse,"Bob Persichetti, Peter Ramsey, Rodney Rothman, Phil Lord",True
2019,BAFTA Best Film,Roma,"Alfonso Cuaron, Gabriela Rodriguez",True
2019,BAFTA British Short Animation,Roughhouse,"Jonathan Hodgson, Richard Van Den Boom",True
2019,BAFTA British Short Film,73 Cows,Alex Lockwood,True
2019,BAFTA Cinematography,Roma,Alfonso Cuaron,True
2019,BAFTA Costume Design,The Favourite,Sandy Powell,True
2019,BAFTA Director,Roma,Alfonso Cuaron,True
2019,BAFTA Documentary,Free Solo,"Elizabeth Chai Vasarhelyi, Jimmy Chin, Shannon Dill, Evan Hayes",True
2019,BAFTA EE Rising Star Award,Letitia Wright,,True
2019,BAFTA Editing,Vice,Hank Corwin,True
2019,BAFTA Fellowship,Thelma Schoonmaker,,True
2019,BAFTA Film Not in the English Language,Roma,"Alfonso Cuaron, Gabriela Rodriguez",True
2019,BAFTA Leading Actor,Rami Malek,Bohemian Rhapsody,True
2019,BAFTA Leading Actress,Olivia Colman,The Favourite,True
2019,BAFTA Make Up and Hair,The Favourite,Nadia Stacey,True
2019,BAFTA Original Music,A Star Is Born,"Bradley Cooper, Lady Gaga, Lukas Nelson",True
2019,BAFTA Original Screenplay,The Favourite,"Deborah Davis, Tony McNamara",True
2019,BAFTA Outstanding British Contribution to Cinema,Elizabeth Karlsen and Stephen Woolley,,True
2019,BAFTA Outstanding British Film,The Favourite,"Yorgos Lanthimos, Ceci Dempsey, Ed Guiney, Lee Magiday, Deborah Davis, Tony McNamara",True
2019,"BAFTA Outstanding Debut by a British Writer, Director or Producer",Beast,"Michael Pearce (Writer/Director), Lauren Dark (Producer)",True
2019,BAFTA Production Design,The Favourite,"Fiona Crombie, Alice Felton",True
2019,BAFTA Sound,Bohemian Rhapsody,"John Casali, Tim Cavagin, Nina Hartstone, Paul Massey, John Warhurst",True
2019,BAFTA Special Visual Effects,Black Panther,"Geoffrey Baumann, Jesse James Chisholm, Craig Hammack, Dan Sudick",True
2019,BAFTA Supporting Actor,Mahershala Ali,Green Book,True
2019,BAFTA Supporting Actress,Rachel Weisz,The Favourite,True
2020,BAFTA Adapted Screenplay,Jojo Rabbit,Taika Waititi,True
2020,BAFTA Animated Film,Klaus,"Sergio Pablos, Jinko Gotoh",True
2020,BAFTA Best Film,1917,"Pippa Harris, Callum McDougall, Sam Mendes, Jayne-Ann Tenggren",True
2020,BAFTA British Short Animation,Grandad Was A Romantic,Maryam Mohajer,True
2020,BAFTA British Short Film,Learning To Skateboard In A Warzone (If You're A Girl),"Carol Dysinger, Elena Andreicheva",True
2020,BAFTA Casting,Joker,Shayna Markowitz,True
2020,BAFTA Cinematography,1917,Roger Deakins,True
2020,BAFTA Costume Design,Little Women,Jacqueline Durran,True
2020,BAFTA Director,1917,Sam Mendes,True
2020,BAFTA Documentary,For Sama,"Waad al-Kateab, Edward Watts",True
2020,BAFTA EE Rising Star Award,Micheal Ward,,True
2020,BAFTA Editing,Le Mans '66,"Andrew Buckland, Michael McCusker",True
2020,BAFTA Fellowship,Kathleen Kennedy,,True
2020,BAFTA Film Not In The English Language,Parasite,Bong Joon Ho,True
2020,BAFTA Leading Actor,Joaquin Phoenix,Joker,True
2020,BAFTA Leading Actress,Renée Zellweger,Judy,True
2020,BAFTA Make Up & Hair,Bombshell,"Vivian Baker, Kazu Hiro, Anne Morgan",True
2020,BAFTA Original Score,Joker,Hildur Guðnadóttir,True
2020,BAFTA Original Screenplay,Parasite,"Han Jin Won, Bong Joon Ho",True
2020,BAFTA Outstanding British Film,1917,"Sam Mendes, Pippa Harris, Callum McDougall, Jayne-Ann Tenggren, Krysty Wilson-Cairns",True
2020,"BAFTA Outstanding Debut By A British Writer, Director Or Producer",Bait,"Mark Jenkin (Writer/Director), Kate Byers, Linn Waite (Producers)",True
2020,BAFTA Production Design,1917,"Dennis Gassner, Lee Sandales",True
2020,BAFTA Sound,1917,"Scott Millan, Oliver Tarney, Rachael Tate, Mark Taylor, Stuart Wilson",True
2020,BAFTA Special Visual Effects,1917,"Greg Butler, Guillaume Rocheron, Dominic Tuohy",True
2020,BAFTA Supporting Actor,Brad Pitt,Once Upon a Time.. in Hollywood,True
2020,BAFTA Supporting Actress,Marriage Story,Laura Dern,True
